	Photo Date	Lat	Lon	Geographic Name	Features Identified Manually	Focal Length (mm)	Features Identified by Machine Learning	Record Type
ISS061-E-68322	20191207	38.0	13.4	SICILY	PUBLIC INPUTS	400		Cataloged With Center Point
ISS061-E-68755	20191207	32.1	20.1	LIBYA	PUBLIC INPUTS, BENGHAZI	420		Cataloged With Center Point
ISS061-E-66508	20191203	49.1	6.2	FRANCE	PUBLIC INPUTS,METZ	400		Cataloged With Center Point
ISS061-E-66510	20191203	47.4	8.6	SWITZERLAND	ZURICH, LAKE ZURICH	400		Cataloged With Center Point
ISS061-E-66521	20191203	44.5	26.1	ROMANIA	PUBLIC INPUTS	400	ATHENS	Cataloged With Center Point
ISS061-E-66522	20191203	44.5	26.1	ROMANIA	BUCHAREST AT NIGHT	400		Cataloged With Center Point
ISS061-E-66540	20191203	39.9	32.8	TURKEY	ANKARA	400		Cataloged With Center Point
ISS061-E-66546	20191203	37.0	37.4	TURKEY	PUBLIC INPUTS	400		Cataloged With Center Point
ISS061-E-66550	20191203	33.8	35.6	LEBANON	BEIRUT AT NIGHT	400	BEIRUT	Cataloged With Center Point
ISS061-E-66552	20191203	33.4	44.4	IRAQ	BAGHDAD	400		Cataloged With Center Point
ISS061-E-66560	20191203	29.3	48.0	KUWAIT	PUBLIC INPUTS	400		Cataloged With Center Point
ISS061-E-66566	20191203	29.1	48.1	KUWAIT	PUBLIC INPUTS	400	DUBAI	Cataloged With Center Point
ISS061-E-66571	20191203	29.3	48.0	KUWAIT	KUWAIT CITY AT NIGHT	400		Cataloged With Center Point
ISS061-E-62225	20191127	30.5	32.5	EGYPT	NILE RIVER, NILE RIVER DELTA, CAIRO, TEL AVIV	28	CAIRO, PAN-	Cataloged With Center Point
ISS061-E-52974	20191120	48.7	44.5	RUSSIAN FEDERATION	VOLGOGRAD, VOLGA RIVER	400		Cataloged With Center Point
