nasa_id,lat,lon,elev,fclt,distance_deg
ISS052-E-25061,46.8,1.3,-22.0,50.0,7.480419342023784
ISS052-E-25062,46.4,2.5,-23.0,50.0,7.547711098325191
ISS052-E-25063,46.0,3.6,-23.0,50.0,7.694830627714787
ISS052-E-25064,45.3,5.3,-25.0,50.0,8.076705169129337
ISS052-E-25065,45.3,5.3,-25.0,50.0,8.076705169129337
ISS052-E-25066,45.3,5.4,-25.0,50.0,8.132209433657458
ISS052-E-25067,45.3,5.5,-25.0,50.0,8.187993203404993
ISS052-E-25068,45.2,5.6,-25.0,50.0,8.18428836175599
ISS052-E-25069,45.2,5.7,-25.0,50.0,8.24111929339704
ISS052-E-25070,45.2,5.7,-25.0,50.0,8.24111929339704
ISS052-E-25071,45.1,5.8,-25.0,50.0,8.240242253995982
ISS052-E-25072,45.1,5.9,-25.0,50.0,8.298084048880867
ISS052-E-25073,45.1,6.0,-25.0,50.0,8.356169829660375
ISS052-E-25074,45.0,6.0,-25.0,50.0,8.30000468312118
ISS052-E-25075,45.0,6.1,-25.0,50.0,8.358820830782589
ISS052-E-25076,45.0,6.2,-25.0,50.0,8.417866603899174
ISS052-E-25077,44.9,6.3,-25.0,50.0,8.423259747130931
ISS052-E-25078,44.9,6.3,-25.0,50.0,8.423259747130931
ISS052-E-25079,44.9,6.4,-25.0,50.0,8.483229352717087
ISS052-E-25080,44.8,6.5,-25.0,50.0,8.491328076911193
ISS052-E-25081,44.8,6.6,-25.0,50.0,8.552185486804348
ISS052-E-25082,44.8,6.6,-25.0,50.0,8.552185486804348
ISS052-E-25083,44.8,6.7,-25.0,50.0,8.613240672551576
ISS052-E-25084,44.7,6.8,-26.0,50.0,8.624660139740318
ISS052-E-25085,44.7,6.9,-26.0,50.0,8.686554562033718
ISS052-E-25086,44.7,6.9,-26.0,50.0,8.686554562033718
ISS052-E-25087,44.6,7.0,-26.0,50.0,8.70057656416555
ISS052-E-25088,44.6,7.1,-26.0,50.0,8.763275331615738
ISS052-E-25089,44.6,7.2,-26.0,50.0,8.82614297991842
ISS052-E-25090,44.5,7.2,-26.0,50.0,8.779856513595004
ISS052-E-25091,44.5,7.3,-26.0,50.0,8.843325250781286
ISS052-E-25092,44.5,7.4,-26.0,50.0,8.906951283042794
ISS052-E-25093,44.4,7.5,-26.0,50.0,8.926625549483779
ISS052-E-25094,44.4,7.5,-26.0,50.0,8.926625549483779
ISS052-E-25095,44.4,7.6,-26.0,50.0,8.990976703239768
ISS052-E-25096,44.3,7.7,-26.0,50.0,9.013096751826193
ISS052-E-25097,44.3,7.8,-26.0,50.0,9.078140464617077
ISS052-E-25098,44.3,7.8,-26.0,50.0,9.078140464617077
ISS052-E-25099,44.2,7.9,-26.0,50.0,9.102658988703256
ISS052-E-25100,44.2,8.0,-26.0,50.0,9.168363466581997
ISS052-E-25101,44.2,8.1,-26.0,50.0,9.234190742125623
ISS052-E-25102,44.1,8.1,-26.0,50.0,9.19523228827938
ISS052-E-25103,44.1,8.2,-26.0,50.0,9.261566563819056
ISS052-E-25104,44.1,8.3,-27.0,50.0,9.328014282310587
ISS052-E-25105,44.0,8.4,-27.0,50.0,9.35767082389429
ISS052-E-25106,44.0,8.4,-27.0,50.0,9.35767082389429
ISS052-E-25107,44.0,8.5,-27.0,50.0,9.424709385944032
ISS052-E-25108,43.9,8.6,-27.0,50.0,9.456597762274809
ISS052-E-25109,43.9,8.6,-27.0,50.0,9.456597762274809
ISS052-E-25110,43.9,8.7,-27.0,50.0,9.524198473723816
ISS052-E-25111,43.8,8.8,-27.0,50.0,9.558269554879404
ISS052-E-25112,43.8,8.9,-27.0,50.0,9.626404654285627
ISS052-E-25113,43.8,8.9,-27.0,50.0,9.626404654285627
ISS052-E-25114,43.7,9.0,-27.0,50.0,9.662609228557274
ISS052-E-25115,43.7,9.1,-27.0,50.0,9.731251906844607
ISS052-E-25116,43.7,9.2,-27.0,50.0,9.79997366311034
ISS052-E-25117,43.6,9.2,-27.0,50.0,9.76954083012729
ISS052-E-25118,43.6,9.3,-27.0,50.0,9.83866524306784
ISS052-E-25119,43.6,9.4,-27.0,50.0,9.907861900873666
ISS052-E-25120,43.5,9.4,-27.0,50.0,9.878989574802215
ISS052-E-25121,43.5,9.5,-27.0,50.0,9.948570849007655
ISS052-E-25122,43.5,9.6,-27.0,50.0,10.01821796117304
ISS052-E-25123,43.4,9.7,-27.0,50.0,10.060896208064397
ISS052-E-25124,43.4,9.7,-27.0,50.0,10.060896208064397
ISS052-E-25125,43.4,9.8,-28.0,50.0,10.130970282906873
ISS052-E-25126,43.3,9.9,-28.0,50.0,10.175570206049906
ISS052-E-25127,43.3,9.9,-28.0,50.0,10.175570206049906
ISS052-E-25128,43.3,10.0,-28.0,50.0,10.246048701701355
ISS052-E-25129,43.2,10.1,-28.0,50.0,10.292523219493965
ISS052-E-25130,43.2,10.2,-28.0,50.0,10.36338453388922
ISS052-E-25131,43.2,10.2,-28.0,50.0,10.36338453388922
ISS052-E-25132,43.1,10.3,-28.0,50.0,10.411687188378373
ISS052-E-25133,43.1,10.4,-28.0,50.0,10.482910645490216
ISS052-E-25134,43.1,10.4,-28.0,50.0,10.482910645490216
ISS052-E-25135,43.0,10.5,-28.0,50.0,10.532995674501407
ISS052-E-25136,43.0,10.6,-28.0,50.0,10.604561507361344
ISS052-E-25137,43.0,10.7,-28.0,50.0,10.676166080850326
ISS052-E-25138,42.9,10.7,-28.0,50.0,10.65638390667288
ISS052-E-25139,42.9,10.8,-28.0,50.0,10.728273237679664
ISS052-E-25140,42.9,10.9,-28.0,50.0,10.800197205928953
ISS052-E-25141,42.8,10.9,-28.0,50.0,10.78178881392032
ISS052-E-25142,42.8,11.0,-28.0,50.0,10.853983632899144
ISS052-E-25143,42.7,11.1,-28.0,50.0,10.909149047853104
ISS052-E-25144,42.7,11.1,-28.0,50.0,10.909149047853104
ISS052-E-25145,42.7,11.2,-29.0,50.0,10.98163218828885
ISS052-E-25146,42.6,11.3,-29.0,50.0,11.03840499528715
ISS052-E-25147,42.6,11.4,-29.0,50.0,11.111160109115739
ISS052-E-25148,42.6,11.4,-29.0,50.0,11.111160109115739
ISS052-E-25149,42.5,11.5,-29.0,50.0,11.169498782179899
ISS052-E-25150,42.5,11.6,-29.0,50.0,11.242510313483374
ISS052-E-25151,42.5,11.6,-29.0,50.0,11.242510313483374
ISS052-E-25152,42.4,11.7,-29.0,50.0,11.302374269867041
ISS052-E-25153,42.4,11.8,-29.0,50.0,11.375627427781023
ISS052-E-25154,42.4,11.8,-29.0,50.0,11.375627427781023
ISS052-E-25155,42.3,11.9,-29.0,50.0,11.436977044530035
ISS052-E-25156,42.3,12.0,-29.0,50.0,11.510457775636983
